Year,Revenue Growth (%),Operating Expenses ($M),S&P 500 Index,Interest Rates (%),Inflation (%),Industry Trends,Net Income ($M)
1949,3.6820995265110774,1525.7082314387376,1222.297348072551,4.058819838951477,2.5151150263709887,2.8046155135568993,125.50049061869103
1950,13.555278841790408,2421.9850488181537,1560.8078255324733,6.445669199285246,-0.9979913996159748,6.584775876034589,284.4612198367617
1951,-4.009786535249208,4181.066446651219,1267.5736838574592,5.2797944565108335,7.325762991129242,2.8024525166799013,-92.13137309104766
1952,5.427033152408349,4373.287624653545,1914.9429242270144,8.636653491289062,4.700850996829661,7.782722504778102,62.93621575718137
1953,7.772437065861276,531.2845873903582,1546.4466008661325,6.757589500379978,3.090664110963715,3.2786025816172835,335.28255957043746
1954,-8.606487618400068,2798.3628615990456,1300.2856604339152,2.047877057273582,8.876252621136832,3.414069573030794,89.96079223741303
1955,8.22634555704315,2378.3495141695057,1307.9427125089896,1.1704031003040836,-0.6656302123261839,8.149804039875175,185.5551798763576
1956,-4.884276289381254,1499.485147118286,1669.0197355738894,6.6029831429599986,3.91150125149031,1.0522429931859554,134.90193961840737
1957,-8.048452210441614,1039.3941530015727,1578.2367358641227,0.7518574501454072,-1.8637562627909712,-2.989771573240389,70.7511243275489
1958,18.466566117599996,2019.2682713163258,1816.1334321517515,6.064868022097901,3.6239277039295157,-4.568259855299916,263.2171195724467
1959,18.96896099223678,4743.093667606337,1818.3848986520827,9.432187293537098,-1.3243606918179518,6.327058835104285,212.18233648391845
1960,14.251920443493834,1954.4131940933985,1759.5756316100396,5.96700468982085,-0.5741850047831369,4.30464327030197,283.8812471349425
1961,-0.8615869247988801,2834.5577978451474,1655.1867109317736,4.187614298961958,-0.5896850386747414,5.561196521488354,142.92154914329382
1962,-7.069836579808484,3663.5853150283,1571.980050012322,6.611238075202355,5.790523625392763,-1.805537577366339,-103.09919423994029
1963,10.526990795364707,2136.3332107068227,1836.0505449401312,4.853402459669408,6.952538551185079,-2.9544278661984533,226.8210923198211
1964,3.2045748121880386,4873.019372244323,2147.03733462227,5.683359498501382,5.000425181165916,-4.781830014981771,18.913894343575578
1965,-6.338852954656636,4831.0128272395,2068.980364987657,9.44391568337699,9.546070581694503,0.2588133820989551,-83.77581985827298
1966,4.855307303338105,1633.0203312141387,1827.4179008232588,4.167975059107356,2.4984469542844483,3.848765302819496,206.720569717086
1967,-8.968344366543448,2737.6182765157346,2161.6058821399333,9.631310356327186,1.4285450353823288,0.8836606764959845,15.384762718540461
1968,17.279612062363462,1853.9523941754635,2254.4372133195047,9.100831098582606,8.423189538273522,1.5621238303559357,385.03505007321365
1969,-2.2366005519994925,1781.7822246986043,2051.006290537551,2.3600157804983164,0.6831500622334317,8.562380417406226,273.340885930107
1970,9.87566853061946,665.9912630953976,2308.9268393709235,1.1589323583140718,9.558670473287336,0.22383200534950554,314.7920266799532
1971,-0.6486677173176716,3243.0395029095357,2340.2276022750584,1.4573910130855532,-1.854146303722204,2.709842337397162,190.3049457252298
1972,5.602040635334324,2762.0556045298767,2150.3958394237743,0.6731073436897224,9.63854592049167,6.754795191117147,292.28375328682984
1973,6.401308380298389,731.6543806249521,2500.951411463596,1.3972081271813197,-1.4820810565930866,0.9481417348190524,299.1005782744524
1974,-4.454366334234189,1753.9090890647515,2591.9548850716264,6.98856434745539,8.693717364376853,4.3313005034181025,227.7508105275173
1975,19.087538832936758,4587.196486849942,2746.8122688370754,1.1762921603721754,4.332413309035598,7.935455631201178,347.67054724392744
1976,13.253984700833435,1578.028508001376,2791.366471013041,3.530268487790732,9.915577553431604,9.242809354864631,487.8494018788962
1977,18.184968246925674,1152.0269244105039,2355.4762274186824,8.526315454209819,-1.1144412231752137,-2.7938977860644307,359.99356527343514
1978,16.844820512829465,2702.5374212490337,2493.8491334311166,0.7210833894903457,4.646251412815849,8.898814377422417,346.10848620920876
1979,7.936999364332554,4935.427043497703,2834.8252352599134,8.237450584594889,9.631630427429187,2.3817443961930724,83.67585406455609
1980,17.656227050693506,1589.2487218017518,2884.979412404664,3.1776203603472992,4.277174130041786,-1.1263341755156246,450.2717253943962
1981,-7.345224938442415,3524.6099633264535,2935.635799887472,1.6225658624057344,5.55278365762315,1.8870363435739197,147.1920679877677
1982,-4.120514127425644,3927.288268979229,3653.5766011612473,7.119003070959431,6.348984267815407,9.700488629282155,205.53421501370028
1983,-8.643181332683858,1569.3689479657985,3047.6124455729764,6.474957044408898,3.4544927772132787,2.389271409893044,248.16651449649785
1984,-0.2400900771020691,3776.973568753368,3210.9515118745035,8.835984128507002,5.530696961008761,-0.06872584568737672,85.44775057425295
1985,1.660318690684461,2155.0240972366396,3225.0427769410644,7.483174916136915,5.011771743077203,4.5010128147508865,311.6091825148442
1986,-1.8595290467831234,3345.3762376711074,3214.924714907624,8.133068838656062,8.813896125891867,-1.397815718327104,96.78800083368029
1987,14.86212527455788,3350.883698424026,3071.9966561224355,3.1793284394274117,-1.4546434359025056,-3.862050078370041,313.25581553012324
1988,0.702599800807679,2910.9860783364134,3337.248389553199,2.185675665907367,1.3715582751067639,-3.0668041713402614,257.99398008681754
1989,-1.5719647093785767,906.3039652448374,3081.2935429510712,7.6308401405881545,9.404937808918705,-3.0793124156334133,213.07032722011772
1990,6.2808824947474555,4258.861230151571,3238.898904914624,8.164930023039009,8.683165406690996,-2.721459597315585,165.8820536060745
1991,-5.77227325075712,1943.5102923728114,3239.5939571008457,9.909798849006396,3.4678810334285552,-2.917592410258848,236.0824124172064
1992,14.06590942262119,1339.333296799344,3403.4455349479713,4.419867930658551,5.441591173618441,4.613121172048219,483.673245607122
1993,-7.763480689606875,683.4881369964376,3900.406460809449,4.03417181503144,1.3285741957735921,-2.271798734012828,377.68506640373084
1994,19.60660809801552,3159.018244347088,3114.4257493604377,7.87592312704897,0.25745391668513573,0.18500924985794853,354.40049757952704
1995,13.167343078899723,3549.0396282902707,3675.534866357731,3.7376336324036696,3.564380859279786,8.451826148590177,486.49844335488467
1996,-4.038529553974827,574.6452301753527,3266.143694448938,9.342194593233865,2.240226736312634,2.1094246039430855,393.01898708571036
1997,-9.834336486291928,2804.418762346764,3544.7045359330223,8.654921142508613,5.003873342210465,5.013366077815407,74.14462849002905
1998,14.463842853645026,1519.2309883907208,3907.2850688884223,4.575443260062674,-1.067184356420182,-2.4152019319755524,480.56334454537546
1999,11.205720315428515,3403.2775568425245,3752.7549937180825,7.633275144019225,9.692737691993997,-2.1156647178699384,361.8525245039566
2000,11.87021504122962,1284.6489305224613,3574.754074717169,7.668157303804482,9.834528933755234,-4.3869707560028175,398.8527026874297
2001,13.138110400578373,3609.2198214610967,3697.646328855077,1.4796767539413598,6.377940568236941,-2.465974053917532,392.9820415810441
2002,-7.778660447977289,2240.309058352418,4027.030660898046,9.074252613455883,4.433156396129444,-0.8211449145206204,217.46185778478707
2003,0.7539718563281781,4715.284949315305,3795.4418251717243,5.299897538254643,1.714331395435933,-2.3448427358487978,205.24791922396258
2004,-6.523928214246109,1118.8442486569697,4035.210909835587,8.351345928023544,7.765540236483384,-3.6694619936441657,280.14668833992397
2005,15.893102776267806,2034.7985797261633,4051.437600303995,3.5404712097908115,6.216774070646551,-3.1904619334909876,558.8475881609384
2006,8.698943804826737,1010.6308455826509,3962.407203206109,9.007470670713904,-0.04859672786130442,1.9116815204908866,515.821547248748
2007,-0.07305925442052441,4661.121282253533,4571.920130996378,4.19741594797455,8.93112621392611,-1.9049942239131124,277.26507737356013
2008,-8.093249491419291,4448.027090214415,4320.319157998955,0.6029576890628344,7.870446915078027,0.4640479157211317,185.19047220407933
2009,-0.6705303485301339,1660.7373247182002,3838.9108766078725,9.101128775983005,9.397598959503089,2.5512590628228535,316.4802384801097
2010,-0.2445003391975895,3469.9282071538055,4331.634297297319,1.3672234294682688,6.708634100660319,5.355922429440479,351.4794665752863
2011,11.88818535014192,4177.499900905472,4212.390181793797,3.533479557108941,5.360982351229478,-4.410317902383516,381.9355956961388
2012,9.126724140656393,2998.4036521975804,4565.63818211076,9.525588686982648,3.0189164354874265,6.99115598363564,476.1062080944574
2013,16.616382277289794,2883.4276026020293,4287.051407869016,9.530767895906783,9.19274180024816,4.418505842363617,525.3023081331492
2014,4.1664477548584795,1588.3353090520325,4473.012307666216,5.947659937171218,8.3927666740049,-3.7736145207669214,528.2134669208706
2015,-6.412172621850949,918.9624551265465,4647.361092159727,6.502453515613093,-1.4573759587257271,8.103679361601658,534.9117906036455
2016,11.397343616689849,4537.470910789971,4769.918715601701,4.760232458794038,-1.683596306032976,8.813086007977198,499.5449002671242
2017,12.823551458506923,4551.881257234987,4407.112435760562,3.285502331131613,2.5175604025365956,-4.083830602177044,444.76255372688917
2018,6.838315927084889,3348.9565577297058,4630.675510407567,3.6223131810142015,7.726639969381996,-0.8468352777919446,395.5329457384902
2019,13.129015398636831,2025.6340597191531,4652.990735747607,6.888925332731865,9.847313551779333,7.09301919689592,486.1588840724488
2020,4.813867890931721,2071.443085756974,4667.717991869096,7.64755802965796,-0.1949973067576618,6.223895355754875,473.0723728805302
2021,5.681984881459822,3766.800554916077,5201.878726844097,8.02000091539556,5.129568584225622,-2.23218470965434,321.7819096950219
2022,2.826230550756488,4536.9961697865965,4980.18826138411,8.001372356548263,2.5706902795722577,-1.8597601499493455,319.2586351335277
2023,-9.237426197677145,4491.888909193028,4697.41916872895,1.3664579789625586,9.638972773775238,0.5570815418707298,222.40157251477711
2024,-6.763257190200866,4009.4399563593074,5183.572389410955,5.196992894674524,8.105427077628505,2.26784477786532,401.91604735155005
